Estado,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chihuahua,28094744,27704270,24772115,34633882,38446015,41764862,43770979,45594450,40302946,43342069,46491548,52864190,57434137,54920397,58542743
Baja California,31858674,32988914,26741828,28882194,30151513,31663050,32229570,35002851,38441997,35997278,36315716,39896456,42396948,40659061,48001191
Coahuila,17469635,21757039,13904921,21970635,27238515,31636120,33015110,34838928,36251769,37699564,38950677,41034810,47659461,44961567,53521726
Nuevo León,19803477,21765788,17327009,21343765,24589656,25815501,25897183,31513013,34522156,32177307,36004725,39615280,39857052,34511011,41497315
Tamaulipas,22517431,23850566,18320316,21294755,22084503,22268195,22929249,27397997,26300102,24926224,25507318,27314740,29130160,26736211,32565309
Campeche,29051551,31837811,17593024,23556375,31335436,29394572,27136525,22327077,11288367,9515108,12726093,18360739,16579076,10274658,15384613
Jalisco,14445972,15360599,15059587,18800996,15333202,19379719,20104514,18737714,19737684,17877863,18687649,21133620,21659641,20093246,23161220
Guanajuato,6425250,6419925,5684014,8275950,9701099,10148715,12171000,17204368,20787832,22099835,23360291,25504680,25065797,24048742,26950862
Sonora,12980385,12035116,9380256,13490937,14095227,14638941,17816567,15611884,16895882,17544421,17443597,19863200,19840531,17735407,20753424
México,8643136,9909898,7648352,10863013,15920531,17076559,18210482,22472407,21392725,17332225,18601994,20335098,20010000,14009625,17542825
Puebla,7781315,9205476,6675263,8596411,10692382,12277945,11003342,10594593,10141643,9372971,15019151,16837910,17547976,13514350,14823781
San Luis Potosí,4788268,4528943,3559105,4825610,5755600,7224415,7803665,8476834,9806397,9505025,13360589,15294351,15531674,13664631,13794439
Tabasco,8272595,9990789,6968591,10608705,15545851,14748678,13050544,11295466,6603629,5370754,6412527,7017663,5012814,4117145,7477362
Querétaro,3410507,4067931,3471124,4598763,6088263,7386393,8158718,9147776,10400467,10314837,10478613,11227332,12868798,11738888,14560322
Aguascalientes,4389841,4456892,3951109,5647927,6051640,6183782,6726208,8466008,8495444,7870963,7830018,9650720,11794073,11449691,11532365
Veracruz,4270074,5432206,4106797,5172167,6745680,6984282,7503947,7242794,5437057,4339857,5362862,6367194,6697246,5352789,6783260
Morelos,2044923,1950868,1562214,2101613,3141480,4120011,4207055,3791586,3402758,3787521,3490781,3833336,3086702,2644549,3197060
Zacatecas,2114571,2420351,1634147,2277321,3223110,3545855,3489502,3086748,3325166,2793508,3026697,3141633,2873522,3657768,4268238
Ciudad de México,2713216,2870068,2378039,2759615,3068807,2937465,2602629,2705299,2452303,2302852,2630543,2632148,2667127,2128075,2540376
Michoacán,357291,1099717,805947,1180681,1142307,1251984,1534102,1099318,822901,979214,1272574,4948554,5586478,5532247,7038922
Durango,878704,984903,829445,1117272,1402922,1608285,1687174,1861964,1752492,1654784,1672356,2127000,2737230,2684822,3251535
Hidalgo,1300636,2044631,1269506,1099190,1539103,1510001,1589975,1721653,1726505,1677728,1788933,2242355,2299344,1318940,1837919
Sinaloa,324832,380924,208157,265118,313567,449553,520444,769709,1245917,1283961,960133,2962631,2840002,2905253,2922018
Tlaxcala,746245,870813,645311,816037,937983,1016393,1238637,1278535,1307251,1310802,1379963,1440917,1460866,1448673,1928656
Yucatán,1146548,1089136,1033444,1200008,1326399,1328358,1217001,1422476,1470940,1262653,962965,1113910,1119624,858470,1161870
Chiapas,908250,894422,855360,1245155,1665278,1618569,1613291,1460627,1165750,587503,606131,871639,820169,729884,980390
Oaxaca,623321,1448887,1044383,830211,996977,776493,1117819,1359228,737200,627162,603681,919019,712574,642307,1060702
Guerrero,142118,248330,464864,629384,680046,728036,613328,493996,334522,647788,236958,706829,966476,964914,1157773
Colima,79553,86607,81343,107854,142734,221098,280985,269702,288409,272612,133681,753023,684839,752101,907312
Baja California Sur,148998,183755,165276,190834,174854,169198,177216,182855,199663,237514,249572,343315,291813,265756,342524
Nayarit,37114,39903,57563,63365,101538,96988,109407,112607,101254,166362,124554,276598,266760,248396,248694
Quintana Roo,40567,42303,35712,59003,100307,44176,36533,19223,31075,23156,33172,79126,80909,20680,33059
