PROD_EST,COBERTURA,ANIO,Estado,Industria,VAL_USD,ESTATUS_CIFRA,ESTATUS
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Subsectores no especificados,15525,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Industria alimentaria,36351,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Fabricación de insumos textiles y acabado de textiles,1920,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Fabricación de prendas de vestir,197076,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Industria química,3295,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Industria del plástico y del hule,6136,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Fabricación de productos a base de minerales no metálicos,8448,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Fabricación de productos metálicos,8144,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Fabricación de maquinaria y equipo,42024,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",420432,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Fabricación de equipo de transporte,3648453,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Aguascalientes,Otras industrias manufactureras,2037,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Baja California,Subsectores no especificados,36588,Disponible,Cifras Revisadas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,Baja California,Industria alimentaria,119282,Disponible,Cifras Revisadas.
