Year,Estado,Subindustria,USD
2007,Aguascalientes,Subsectores no especificados,15525
2007,Aguascalientes,Industria alimentaria,36351
2007,Aguascalientes,Fabricacion de insumos textiles y acabado de textiles,1920
2007,Aguascalientes,Fabricacion de prendas de vestir,197076
2007,Aguascalientes,Industria quimica,3295
2007,Aguascalientes,Industria del plastico y del hule,6136
2007,Aguascalientes,Fabricacion de productos a base de minerales no metalicos,8448
2007,Aguascalientes,Fabricacion de productos metalicos,8144
2007,Aguascalientes,Fabricacion de maquinaria y equipo,42024
2007,Aguascalientes,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",420432
2007,Aguascalientes,Fabricacion de equipo de transporte,3648453
2007,Aguascalientes,Otras industrias manufactureras,2037
2007,Baja California,Subsectores no especificados,36588
2007,Baja California,Industria alimentaria,119282
2007,Baja California,Industria de las bebidas y del tabaco,17237
2007,Baja California,Fabricacion de insumos textiles y acabado de textiles,32529
2007,Baja California,"Fabricacion de productos textiles, excepto prendas de vestir",17893
2007,Baja California,Fabricacion de prendas de vestir,348823
2007,Baja California,Industria de la madera,81026
2007,Baja California,Industria del papel,220467
2007,Baja California,Impresion e industrias conexas,39849
2007,Baja California,Industria quimica,57407
2007,Baja California,Industria del plastico y del hule,531226
2007,Baja California,Fabricacion de productos a base de minerales no metalicos,206810
2007,Baja California,Industrias metalicas basicas,90746
2007,Baja California,Fabricacion de productos metalicos,1753575
2007,Baja California,Fabricacion de maquinaria y equipo,730165
2007,Baja California,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",20821221
2007,Baja California,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",1260537
2007,Baja California,Fabricacion de equipo de transporte,2094398
2007,Baja California,"Fabricacion de muebles, colchones y persianas",724390
2007,Baja California,Otras industrias manufactureras,2674505
2007,Baja California Sur,Subsectores no especificados,111729
2007,Baja California Sur,Industria alimentaria,37269
2007,Campeche,Subsectores no especificados,10396
2007,Campeche,Extraccion de petroleo y gas,28832254
2007,Campeche,Industria alimentaria,8066
2007,Campeche,Fabricacion de prendas de vestir,200835
2007,Coahuila,Subsectores no especificados,8723
2007,Coahuila,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",14917
2007,Coahuila,Industria alimentaria,88205
2007,Coahuila,Industria de las bebidas y del tabaco,77
2007,Coahuila,Fabricacion de insumos textiles y acabado de textiles,19107
2007,Coahuila,"Fabricacion de productos textiles, excepto prendas de vestir",124987
2007,Coahuila,Fabricacion de prendas de vestir,794735
2007,Coahuila,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",45179
2007,Coahuila,Industria del papel,33223
2007,Coahuila,Industria quimica,96531
2007,Coahuila,Industria del plastico y del hule,169144
2007,Coahuila,Fabricacion de productos a base de minerales no metalicos,80551
2007,Coahuila,Industrias metalicas basicas,3434992
2007,Coahuila,Fabricacion de productos metalicos,412264
2007,Coahuila,Fabricacion de maquinaria y equipo,1513119
2007,Coahuila,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",207684
2007,Coahuila,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",620734
2007,Coahuila,Fabricacion de equipo de transporte,9682512
2007,Coahuila,"Fabricacion de muebles, colchones y persianas",46618
2007,Coahuila,Otras industrias manufactureras,76333
2007,Colima,Subsectores no especificados,41710
2007,Colima,Industria alimentaria,19819
2007,Colima,Industria quimica,18024
2007,Chiapas,Subsectores no especificados,260
2007,Chiapas,Extraccion de petroleo y gas,379372
2007,Chiapas,Industria alimentaria,83315
2007,Chiapas,Industria quimica,301951
2007,Chiapas,Fabricacion de equipo de transporte,143352
2007,Chihuahua,Subsectores no especificados,115776
2007,Chihuahua,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",71709
2007,Chihuahua,Industria alimentaria,320235
2007,Chihuahua,Industria de las bebidas y del tabaco,105134
2007,Chihuahua,Fabricacion de prendas de vestir,222113
2007,Chihuahua,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",207782
2007,Chihuahua,Industria de la madera,36647
2007,Chihuahua,Industria del papel,90564
2007,Chihuahua,Impresion e industrias conexas,101996
2007,Chihuahua,Fabricacion de productos derivados del petroleo y del carbon,588
2007,Chihuahua,Industria quimica,52135
2007,Chihuahua,Industria del plastico y del hule,286983
2007,Chihuahua,Fabricacion de productos a base de minerales no metalicos,130730
2007,Chihuahua,Industrias metalicas basicas,313569
2007,Chihuahua,Fabricacion de productos metalicos,400880
2007,Chihuahua,Fabricacion de maquinaria y equipo,517593
2007,Chihuahua,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",11954650
2007,Chihuahua,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",3338890
2007,Chihuahua,Fabricacion de equipo de transporte,7561470
2007,Chihuahua,"Fabricacion de muebles, colchones y persianas",64804
2007,Chihuahua,Otras industrias manufactureras,2200496
2007,Ciudad de Mexico,Subsectores no especificados,0
2007,Ciudad de Mexico,Industria alimentaria,238162
2007,Ciudad de Mexico,Industria de las bebidas y del tabaco,76449
2007,Ciudad de Mexico,Fabricacion de insumos textiles y acabado de textiles,47282
2007,Ciudad de Mexico,"Fabricacion de productos textiles, excepto prendas de vestir",13759
2007,Ciudad de Mexico,Fabricacion de prendas de vestir,175405
2007,Ciudad de Mexico,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",2608
